"id";"bisac_description";"description_eng";"bisac_code"
"1";"ANTIGUIDADES & COLEÇÕES";"ANTIQUES & COLLECTIBLES";"ANT000000"
"2";"ARQUITETURA";"ARCHITECTURE";"ARC000000"
"3";"ARTE";"ART";"ART000000"
"4";"BÍBLIAS";"BIBLES";"BIB000000"
"5";"BIOGRAFIAS & AUTOBIOGRAFIAS ";"BIOGRAPHY & AUTOBIOGRAPHY";"BIO000000"
"6";"CORPO, MENTE & ESPÍRITO";"BODY, MIND & SPIRIT";"OCC000000"
"7";"ECONOMIA & NEGÓCIOS";"BUSINESS & ECONOMICS";"BUS000000"
"8";"QUADRINHOS & GRAPHIC NOVELS";"COMICS & GRAPHIC NOVELS";"CGN000000"
"9";"COMPUTAÇÃO";"COMPUTERS";"COM000000"
"10";"CULINÁRIA";"COOKING";"CKB000000"
"11";"HOBBIES & OFÍCIOS";"CRAFTS & HOBBIES";"CRA000000"
"12";"DESIGN";"DESIGN";"DES000000"
"13";"DRAMA";"DRAMA";"DRA000000"
"14";"EDUCAÇÃO";"EDUCATION";"EDU000000"
"15";"FAMÍLIA & RELACIONAMENTOS";"FAMILY & RELATIONSHIPS";"FAM000000"
"16";"FICÇÃO";"FICTION";"FIC000000"
"17";"ESTUDOS DE LÍNGUA ESTRANGEIRA";"FOREIGN LANGUAGE STUDY";"FOR000000"
"18";"JOGOS";"GAMES";"GAM000000"
"19";"JARDINAGEM";"GARDENING";"GAR000000"
"20";"FORMA & SAÚDE";"HEALTH & FITNESS";"HEA000000"
"21";"HISTÓRIA";"HISTORY";"HIS000000"
"22";"CASA & DECORAÇÃO";"HOUSE & HOME";"HOM000000"
"23";"HUMOR";"HUMOR";"HUM000000"
"24";"FICÇÃO INFANTO-JUVENIL";"JUVENILE FICTION";"JUV000000"
"25";"NÃO-FICÇÃO INFANTO-JUVENIL";"JUVENILE NONFICTION";"JNF000000"
"26";"LINGUAGENS & DISCIPLINAS";"LANGUAGE ARTS & DISCIPLINES";"LAN000000"
"27";"DIREITO";"LAW";"LAW000000"
"28";"COLEÇÕES LITERÁRIAS";"LITERARY COLLECTIONS";"LCO000000"
"29";"CRÍTICA LITERÁRIA";"LITERARY CRITICISM";"LIT000000"
"30";"MATEMÁTICA";"MATHEMATICS";"MAT000000"
"31";"MEDICINA";"MEDICAL";"MED000000"
"32";"MÚSICA";"MUSIC";"MUS000000"
"33";"NATUREZA";"NATURE";"NAT000000"
"34";"ARTES PERFORMÁTICAS";"PERFORMING ARTS";"PER000000"
"35";"ANIMAIS DE ESTIMAÇÃO";"PETS";"PET000000"
"36";"FILOSOFIA";"PHILOSOPHY";"PHI000000"
"37";"FOTOGRAFIA";"PHOTOGRAPHY";"PHO000000"
"38";"POESIA";"POETRY";"POE000000"
"39";"CIÊNCIAS POLÍTICAS";"POLITICAL SCIENCE";"POL000000"
"40";"PSICOLOGIA";"PSYCHOLOGY";"PSY000000"
"41";"OBRAS DE REFERÊNCIA";"REFERENCE";"REF000000"
"42";"RELIGIÃO";"RELIGION";"REL000000"
"43";"CIÊNCIA";"SCIENCE";"SCI000000"
"44";"AUTO-AJUDA";"SELF-HELP";"SEL000000"
"45";"CIÊNCIAS SOCIAIS";"SOCIAL SCIENCE";"SOC000000"
"46";"ESPORTES & RECREAÇÃO";"SPORTS & RECREATION";"SPO000000"
"47";"AUXÍLIO DE ESTUDOS";"STUDY AIDS";"STU000000"
"48";"TECNOLOGIA E ENGENHARIA";"TECHNOLOGY & ENGINEERING";"TEC000000"
"49";"MEIOS DE TRANSPORTE";"TRANSPORTATION";"TRA000000"
"50";"VIAGEM";"TRAVEL";"TRV000000"
"51";"CRIMINALIDADE";"TRUE CRIME";"TRU000000"
"52";"FICÇÃO JOVEM-ADULTO";"YOUNG ADULT FICTION";"YAF000000"
"53";"NÃO-FICÇÃO JOVEM-ADULTO";"YOUNG ADULT NONFICTION";"YAN000000"
